341,Down:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Up:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Mid:Mid:Up:,
345,Down:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Up:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Up:Mid:Up:,
388,Down:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Up:Mid:Up:,
657,Down:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Up:Mid:Up:,
665,Down:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Up:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Up:Mid:Up:,
931,Down:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Up:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Up:Mid:Up:,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
7,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
21,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
25,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,
29,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,
36,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Down:Mid:,Mid:Mid:Mid:Mid:,
44,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Down:Mid:,Mid:Mid:Mid:Mid:,
45,Down:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Down:Mid:,Mid:Mid:Mid:Mid:,
48,Down:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Down:Mid:,Mid:Mid:Mid:Mid:,
50,Down:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Down:Mid:,Mid:Mid:Mid:Mid:,
54,Down:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Down:Mid:,Mid:Mid:Up:Mid:,
57,Down:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Down:Mid:,Mid:Mid:Up:Mid:,
58,Down:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Down:Mid:,Mid:Mid:Up:Mid:,
61,Down:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
64,Down:Down:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
67,Down:Down:Down:Mid:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
71,Down:Down:Down:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
73,Down:Down:Down:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
