,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,475.3214260660795,513.0807028491279,342.1574075805821,491.34131386183503,409.6468111113137,582.8103165163272,
3,473.74209728257154,514.9736071546725,341.20610726695026,491.5743298995273,409.72137128228826,583.0831594093436,
5,490.3482579685489,506.5298529131324,322.2651386550612,492.1919852228193,410.1085341029207,587.397639889514,
7,490.4682307475902,506.3187682662258,322.27452034884845,492.12115344734445,410.22068868237824,587.4927438491368,
10,490.6200803655433,506.2164872756309,322.2483269732078,492.0367198202427,410.1388667963909,587.3948313949979,
15,491.0376159976424,505.9607035120721,322.2739524925597,491.9105348134497,410.23173983424493,587.4514928038058,
22,492.3583638490071,504.7922489594645,313.4727791496613,497.9672783305488,405.82913921942617,592.4102757998469,
26,493.58591139798875,502.3456712290522,316.2060076980096,499.6328004956103,404.48445356666474,592.4569692246348,
27,493.58589323502684,502.3456899465158,316.2060078662086,499.63280933394805,404.48445094129676,592.4569684717208,
28,493.5858932348421,502.34568994670605,316.2060078662103,499.6328093340379,404.48445094127004,592.456968471713,
31,493.6434962089499,502.21387032154513,316.26372805185963,499.64465615610953,404.73157724615476,592.6987320656401,
34,494.2801752357,500.30376771134814,317.57638103497914,503.285523868427,402.8571252180048,592.5581484896109,
35,494.2801663016991,500.3037778506811,317.5763811236143,503.28552829388894,402.85712386386734,592.558147994401,
36,493.41604868866614,501.94444036725076,318.5582228258579,500.7939708514768,400.15864394026795,595.6083491522868,
37,492.769236772636,502.6390428949543,318.8221967709362,501.955098773774,399.35190072478946,595.9466001020553,
38,492.7691917236768,502.63909445982705,318.822197760009,501.9551228265391,399.35189258449026,595.9465982907553,
39,492.76919172323977,502.6390944603271,318.8221977600186,501.9551228267723,399.35189258441125,595.9465982907377,
47,492.7897268731756,501.6278060192171,319.982195200925,503.44610728083677,398.48423592625187,596.8114396769652,
53,493.0203340125383,502.5637978836668,317.7579646959306,501.7581308305127,397.8157059701042,598.6559201628581,
54,493.83367926054206,502.5328226775611,308.883452740144,507.15395387026746,395.677785850659,601.626147191297,
62,494.6094927617688,501.6416196292773,308.86891168630785,506.7421698991875,395.8211705075008,601.6627668358822,
63,493.7105525362142,503.59796913134,309.2748538996094,504.0566855903117,393.67530558859175,604.3851563047165,
65,493.7105514697993,503.59797035636694,309.27485391959726,504.05668615634045,393.6753053914987,604.38515625438,
69,494.3097013327223,503.02490775131196,309.2636234846541,503.7700391071942,393.7224283566835,604.3568836283605,
73,494.46753344185817,502.7283997186708,309.2606658246604,503.65489752801994,393.8152096341131,604.4208870205118,
74,494.46737970868656,502.72857631713293,309.2606687060776,503.6549791260532,393.81518122138516,604.420879764059,
75,494.46737970741503,502.7285763185936,309.26066870610134,503.65497912672816,393.81518122115006,604.420879763999,
92,494.659669807823,503.87284855778523,307.34824008087526,501.27090632563477,392.0948061965766,607.3646129908478,
93,494.3632777532091,502.9506330335064,307.4448440042041,501.93722526829197,389.0201496592168,617.7292360736394,
95,496.04590938864646,501.2283988418011,306.2113954998521,503.0449418694409,388.09032711072683,618.5944520278354,
108,496.0458942296014,501.22841771560866,306.2113960801688,503.04495022929257,388.09032430042663,618.5944507144096,
109,496.0458942295251,501.22841771570353,306.2113960801717,503.04495022933463,388.09032430041253,618.594450714403,
160,495.98155768257834,501.05676799982166,304.7192373148391,502.9711144785314,385.0394059964385,627.4340973452095,
163,496.49968669172773,500.3788554759766,304.69688525807135,502.67613241887614,385.1471806738277,627.5060751674314,
165,496.4996866917243,500.3788554759808,304.69688525807146,502.67613241887796,385.1471806738271,627.506075167431,
166,496.4996615000271,500.3788868032436,304.6968863330372,502.67614633305027,385.14717628979344,627.5060726258229,
167,496.4996614999766,500.37888680330656,304.6968863330394,502.67614633307824,385.1471762897847,627.5060726258179,
176,496.32187676469266,496.7103593579145,307.6972897876583,511.6790915615156,376.248446419378,631.581985084926,
179,496.32187609132046,496.7103601952888,307.69728981639173,511.67909193343974,376.2484463021928,631.5819850169886,
182,496.32187602441,496.7103602784903,307.6972898192456,511.67909197039376,376.2484462905472,631.5819850102359,
188,496.23826970039477,500.5139796502428,303.2133842522388,504.7355167150596,378.4206934704666,632.8044576174079,
191,496.2382722971573,500.5139768198012,303.21338409824386,504.73551527830034,378.4206939118796,632.8044578570989,
194,497.0127052008129,499.8054246842655,303.17980081711295,504.35572871676925,378.5125721902778,632.8349971814425,
215,497.02103925196633,499.49457022392727,303.1869469778219,504.28053387398614,378.7167071696676,633.0659136341014,
242,497.93302836502727,499.38627045664526,299.07407614704897,500.3521111993989,358.17935073145946,665.8278872646492,
246,498.0695106384568,499.2475510627215,299.1142660857836,500.33235046590994,358.3426426357696,666.1030216903234,
317,498.6952376899077,498.55943341724935,299.016284369834,499.9189645499605,358.2549254592243,665.9215430178288,
318,498.69522658783075,498.55944546067104,299.01628521160904,499.91897085902445,358.2549243584289,665.9215416536715,
319,498.69522658770154,498.5594454608112,299.0162852116188,499.9189708590979,358.25492435841613,665.9215416536556,
