,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
39,1200.0,475.769340994057,335.27665049141524,305.9999745607887,1.9714193874678616,860.8519519356344,734.5649620460417,433.79144595020756,649.7683155107552,1200.0,373.67674216109447,0.0,
40,1200.0,571.9999392836681,202.7681139046951,283.1915612090247,24.860060905376667,846.885800884382,736.7872871122677,436.90765445252345,652.9658162769028,1200.0,369.6713560646519,0.0,
44,1200.0,562.9631120620274,261.37064288319044,255.38129280807075,83.84368799612623,736.7232661503309,765.8725144050974,348.5245023622186,682.6530540712877,1200.0,451.816356668283,0.0,
45,1080.5022539545996,450.99997399555315,365.5041292092493,356.1872130185524,107.70929664153529,704.983485880434,752.2618416356916,341.77487060012004,686.6928905244093,1200.0,468.9556020681558,0.0,
46,1087.2748087975135,445.7179518234118,367.99996416003046,355.45544983165473,116.80885598500899,704.8366877746444,767.523200374104,327.6952474238746,694.4830973172218,1200.0,431.47093797941693,0.0,
48,1088.8478717291703,443.2153977979688,373.7261837234346,354.7554700448404,117.51430368026838,700.6757537878294,766.7555663891641,335.6241381500686,694.9064621330778,1200.0,413.0000417707473,0.0,
51,1103.682995972853,421.1535891332965,394.73531256651694,336.9999993423626,147.875781871534,676.7161561527857,808.9489092015577,304.97945754679034,704.6987893042776,1200.0,398.3485615844414,0.0,
53,1094.630504986105,443.23710723317623,372.7290190627567,366.87769825845265,104.76660341412675,716.9997820937136,786.825504609591,331.34259508041947,699.2530994558746,1200.0,393.8156570463361,0.0,
58,1090.649581505753,450.6800090091082,367.6497808474034,362.4776432588735,115.92029254304455,706.5110489930969,772.8702611755081,329.9996215963873,703.9746569819265,1200.0,427.7541167320437,0.0,
68,1103.6602616602877,432.1935907964557,276.9517062692944,352.92612341907795,134.71812886679407,738.3233293684443,772.4667742533758,316.99995180712267,699.9560373500643,1200.0,459.68671987458,0.0,
71,1104.9992379964535,428.2146439672014,261.85323743313313,359.9998676924156,127.24457671101895,753.8206826903236,772.2797151902301,317.5576067720308,698.9781895666962,1200.0,459.32117626885974,0.0,
72,1105.63164607579,441.628927658799,249.3446882663956,362.13348356694684,124.99991558161567,752.7360212500888,772.4218268494279,320.3289074610984,697.9661108161587,1200.0,457.65841406843185,0.0,
75,1106.8745538724418,439.16888064448244,251.9632336860508,359.50799624936974,129.74347435492666,746.8851481765237,773.0869823973147,320.99993000921734,698.9280114670046,1200.0,453.88329233866597,0.0,
77,1103.0912678838622,449.68981690519297,246.9380373426792,367.6307501298326,117.72147233402809,759.8503211391815,749.999996395911,399.89263888946357,633.5927342525863,1200.0,422.51585746015786,0.0,
79,1104.260275537835,450.85134308337473,251.22285421526763,369.3210863787577,114.88664438716641,751.9998829706344,738.0898962549795,402.9608197889855,695.3530425204347,1200.0,423.8893380828251,0.0,
83,1102.7699526129006,453.9182895265543,250.37871704602566,368.23756642559727,116.34558110943509,748.5077446461535,739.6613838222626,402.5709689638204,697.2215933463877,1200.0,420.0000584136709,0.0,
