,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
68,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Mid:Mid:Up:Mid:,
71,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Mid:Mid:Up:Mid:,
72,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Mid:Mid:Up:Mid:,
75,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Mid:Mid:Up:Mid:,
77,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Mid:Mid:Up:Mid:,
79,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Mid:Mid:Up:Mid:,
83,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Mid:Up:Mid:,
95,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Mid:Up:Mid:,
103,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Mid:Up:Mid:,
105,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Mid:Up:Mid:,
