,light1,light2,light3,light4,light5,light6,light7,light8,light9,
119,0.0,956.2172092786585,44.61534842084857,0.0,0.0,1200.0,0.0,662.9091569926558,1200.0,
125,0.0,954.9900118362424,45.63946431830788,0.0,0.0,1200.0,0.0,662.8916367359571,1200.0,
129,0.0,953.5057897253125,52.744043193065174,0.0,0.0,1200.0,0.0,662.4435167763232,1200.0,
130,0.0,942.482147071595,234.4182483721593,0.0,0.0,1200.0,0.0,657.6511962328364,1200.0,
131,0.0,942.4821013361616,234.41835478580637,0.0,0.0,1200.0,0.0,657.6511894254611,1200.0,
132,0.0,942.4821013360927,234.41835478596624,0.0,0.0,1200.0,0.0,657.651189425451,1200.0,
196,0.0,952.96057224243,124.99990445308826,0.0,0.0,1200.0,0.0,617.991704983054,1200.0,
204,0.0,952.9605977857918,124.99989037912492,0.0,0.0,1200.0,0.0,617.9917172074239,1200.0,
224,0.0,954.4267188902068,120.89427788861052,0.0,0.0,1200.0,0.0,618.720010319063,1200.0,
239,0.0,969.4278230742609,91.48529244822123,0.0,0.0,1200.0,0.0,590.3397003468467,1200.0,
241,0.0,969.4278053865519,91.48533360360366,0.0,0.0,1200.0,0.0,590.339697714349,1200.0,
250,0.0,973.0872518308389,77.7551693449328,0.0,0.0,1200.0,0.0,591.1817130117927,1200.0,
252,0.0,972.183538868911,75.69310695883257,0.0,0.0,1200.0,0.0,591.8199368035266,1200.0,
262,0.0,972.9999116196066,74.96996911728334,0.0,0.0,1200.0,0.0,591.9374289818576,1200.0,
269,0.0,972.0206715358046,80.8473634473181,0.0,0.0,1200.0,0.0,591.5479497953411,1200.0,
278,0.0,972.020671044501,80.84736452378895,0.0,0.0,1200.0,0.0,591.5479497344252,1200.0,
336,0.0,973.7533699087994,77.02239918529214,0.0,0.0,1200.0,0.0,591.9999424512606,1200.0,
730,0.0,973.753371950571,77.0223980301241,0.0,0.0,1200.0,0.0,591.999942424495,1200.0,
