,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
60,Down:Down:Up:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Mid:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
64,Down:Down:Up:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Mid:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Down:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
65,Down:Down:Up:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Down:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
70,Down:Up:Up:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Down:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
73,Down:Up:Up:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
76,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
79,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Down:Down:,Mid:Down:Mid:Up:,Mid:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
92,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Down:Down:,Up:Down:Mid:Up:,Mid:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
99,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Down:Down:,Up:Down:Mid:Up:,Mid:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Up:Down:Up:,
103,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Mid:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Up:Down:Up:,
