,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
24,665.3420534066759,690.5575903119396,716.7500885792563,445.2956356593737,620.6173453788257,698.6164817689561,452.94941915398226,501.82990444889765,361.0987357953941,375.01053995966925,437.10040162393705,300.7619882881751,
26,663.5025160081457,703.7984637250856,696.9808295082838,442.7739651893885,620.1626969856019,702.597031041306,453.1284729915772,499.67906544785944,363.0945928217965,376.0863605279229,436.3364862908195,302.19840315057877,
30,663.6238999540567,703.4084097934486,696.7536161605257,442.9143747628378,620.0898779582625,702.8699230797672,456.79714008233304,498.93101582143356,362.50868529800175,373.89140417508656,436.504861864893,302.26670904814256,
32,671.5499463465189,700.5536945846873,694.4481122738639,435.5219236890577,623.055723008,703.6809342441668,457.3672703119578,499.85198098307296,362.8826190242182,373.42024065205294,436.1193241021541,301.64003625929615,
33,670.5951526267097,715.4592375973274,684.7095281035942,425.459581422392,624.8789301706604,703.8795863544303,458.12017636178837,499.3662556220051,362.2881855581265,373.65160229645574,436.83363452231094,301.7150143856191,
38,671.3242094777288,717.3042318813874,678.4137303150535,423.83829917484314,624.3522480577232,708.6274291068812,457.2081137453461,501.11501024908165,356.93798820860485,374.36208154230064,438.6870143348553,300.90020776108224,
42,670.8407946503133,717.7504048172998,678.5462979350627,424.0223436426382,624.747080809968,708.0894626864554,457.1854133255692,501.3973234602162,356.9790642827926,374.22312887941695,438.6941653714686,300.84901568446895,
44,670.4348216392658,717.9031916076731,678.5028900731505,424.2918906065509,625.2577099520628,707.5958970892851,457.2054307896112,501.76816267128913,357.06223704620635,373.96006480703755,438.5312643349805,300.6750711339743,
45,671.5818291750975,717.1006039676714,679.1946860281972,422.82682268633437,624.0074100526516,709.5724377425711,455.1103070595716,513.3364480448967,344.7203958622136,369.27909461807536,448.5792130271252,291.8891733877541,
48,671.3078215197013,717.4204837735299,679.215361018574,422.9922575139378,624.3061470811737,709.084066157045,455.41807204653315,514.3273682740659,345.0463905424719,368.55144820728043,448.02836553701036,291.7048538413172,
54,671.5352765581589,716.9182034885357,678.9832799884048,422.8805545645604,624.4512357056093,710.0511905645511,454.11256399946166,512.7004811107474,342.673297142664,370.6752782902799,450.08585245082907,292.1823377765248,
55,671.4564928663036,717.4586151091243,678.5824273038672,422.82580937234735,623.821791472865,709.6699892567827,457.7810965404009,512.1017336131279,344.40222654764705,367.19467657241574,448.9153000467362,293.4792713537144,
56,671.631318774989,717.8583115482471,678.1825143861205,421.92450091725664,624.196419736271,709.47483741256,458.297994319469,511.1595774998262,345.92086014997255,367.01845716174626,448.7393951369556,294.7009193639439,
60,671.7741927118502,718.1450826041056,678.1629208861943,421.63682873065335,623.7760459183938,709.3648196459726,458.49917319533193,512.9290148686222,346.24592582842854,366.090319451566,448.15018215768924,293.2582249325618,
71,669.7912352955227,710.6169444728422,682.5435836443389,419.524459192571,643.4256618427687,703.3786313933741,457.7625101690458,511.72951071869005,347.1093361534028,366.21310310689955,448.1418029354594,292.69333269217253,
72,669.8801241013695,710.2973680673904,683.1204647201625,419.869428399715,642.6633799382188,703.9167840715277,459.98103078478164,514.9812555791754,342.4194099108048,358.5874832262059,455.2059059223912,290.06278956771126,
77,669.0577895990817,709.0018404724098,682.117377175693,418.17873643275624,650.4133153198555,702.2983415202385,460.0313381332317,515.0890713333843,341.2612473505446,357.84543387766064,455.6619166555881,290.2006090528018,
78,670.6961271333615,701.6035817996683,695.4335571172523,418.83642439251753,648.9562026146968,700.3238975029606,460.30035527710476,514.8718682512884,340.8007084033836,357.6797804075531,456.1117126018714,289.7395562489597,
87,672.6344237929683,699.6084512996343,698.1320688193964,416.72339631926957,649.8406076226627,699.7384191809128,460.29085716168896,515.0987556179601,338.9095711155245,357.30681757771725,457.1275252439954,289.7909862988663,
88,672.3647350429948,701.2183339940268,694.3234419455401,417.921906518443,649.3662778751363,701.8032528289042,460.45876046774265,515.0794408082941,335.6474926034287,356.46308759440655,459.0308787788111,289.96401335412685,
92,672.0518964609266,701.5958718857659,694.5421257175248,418.01469293600366,649.2311215573305,700.9829990236025,462.12252502286844,514.849963974021,337.30414610372446,354.04491729938036,456.7705320761626,293.95107393482175,
97,672.1049548438895,702.0106428108842,694.611885290613,417.9611630377647,648.6429846795907,700.3984160756135,463.9723586140905,516.4552956930693,338.8828502330593,351.1368307001787,454.1278348438966,295.3916200663869,
