,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
146,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
150,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Up:,
156,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Up:Up:Up:,
160,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Up:Up:Up:,
166,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Up:Up:Up:,
171,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Up:,Mid:Down:Mid:Mid:,Mid:Up:Up:Up:,
187,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Up:,Mid:Down:Mid:Mid:,Mid:Up:Up:Up:,
189,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Up:,Mid:Down:Mid:Mid:,Mid:Up:Up:Up:,
195,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Mid:Down:Mid:Mid:,Mid:Up:Up:Up:,
204,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Mid:Down:Mid:Mid:,Up:Up:Up:Up:,
272,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Mid:Down:Mid:Mid:,Up:Up:Up:Up:,
275,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Mid:Down:Mid:Mid:,Up:Up:Up:Up:,
282,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Mid:Down:Mid:Mid:,Up:Up:Up:Up:,
296,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Mid:Down:Mid:Mid:,Up:Up:Up:Up:,
313,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Mid:Down:Mid:Mid:,Up:Up:Up:Up:,
341,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Up:,
396,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
414,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
458,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
478,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
493,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Down:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
633,Down:Up:Down:Down:,Down:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Down:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
645,Down:Up:Down:Down:,Down:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Down:Up:,Down:Mid:Up:Up:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
658,Down:Up:Down:Down:,Down:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Down:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
726,Down:Up:Down:Down:,Down:Down:Down:Mid:,Up:Mid:Down:Up:,Mid:Mid:Up:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Down:Up:,Down:Mid:Up:Down:,Down:Down:Mid:Mid:,Up:Up:Up:Down:,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
15,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
16,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
19,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
28,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
31,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
37,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
38,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
40,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,
