,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
33,1046.3357297333453,615.813347589419,1200.0,0.0,359.95053835727765,781.411992494109,481.7452170066041,613.9997744585138,0.0,0.0,327.274988924136,0.0,
38,1044.6362276003467,623.4224030712185,1200.0,0.0,360.5520333957307,737.9998098740562,475.7386469043957,613.6093534733499,0.0,0.0,346.926018285663,0.0,
42,1041.9499809286028,625.4054000267677,1200.0,0.0,362.76592017137074,734.8406690620081,474.97376404332584,614.9998474053913,0.0,0.0,344.8102483259829,0.0,
44,1039.9674125782656,625.9405414777023,1200.0,0.0,365.7755133576805,731.8841152968134,474.24463728177,616.8157994053508,0.0,0.0,340.81453122833454,0.0,
45,1046.7524285225807,624.2041346847843,1200.0,0.0,362.52753522273025,742.9260015957262,472.6306905451069,612.8379962946008,0.0,0.0,276.92600133157606,87.00003998343527,
48,1045.320409703934,625.8125986299443,1200.0,0.0,363.8412439625647,740.3424533452044,472.75762752087746,617.9376486348443,0.0,0.0,261.8233529406153,92.00009362126822,
54,1046.2957191403284,623.2000544492244,1200.0,0.0,366.9664874306669,744.3911161285819,465.996239508557,608.9999573354127,0.0,0.0,350.73112036369605,8.505184591546199,
55,1044.5300895817256,626.6447753489953,1200.0,0.0,363.2910055000339,743.4212831718582,520.5659206407533,608.9999332300725,0.0,0.0,351.32421337916594,0.17745420785133736,
56,1048.8087027488293,625.7804207316492,1200.0,0.0,373.96197624673204,739.9999341766465,370.88729676210903,707.431834000073,0.0,0.0,332.7036565275069,0.0,
60,1049.73701759157,627.9292728097864,1200.0,0.0,370.99994920780955,740.4733442905257,367.20731578168903,718.8708949889966,0.0,0.0,310.4386236404517,0.0,
71,1055.6500444753967,618.9999594781349,1200.0,0.0,417.7520278203465,698.8714487446905,366.6959052608265,714.7332037245071,0.0,0.0,319.0439914516803,0.0,
72,1054.9999865410227,619.114235045671,1200.0,0.0,419.33562053493233,705.929220140655,469.23619224705857,650.1710976330401,0.0,0.0,324.4000405881757,8.110520744237842,
77,1028.625469357397,649.3792765959396,1200.0,0.0,395.5423182953317,730.9831718051976,466.19375013003116,657.4485823194873,0.0,0.0,323.4719925371673,7.515186809027867,
78,1046.860399192875,668.3582504930162,1200.0,0.0,402.70921928435826,706.4875698026568,463.5660947315322,660.999968482714,0.0,0.0,326.3904013658089,7.371749310037187,
87,1140.8231740017852,675.1614568369675,1200.0,0.0,390.99995626739354,688.7612783825155,461.63087602893177,667.7097378725907,0.0,0.0,325.3262051373767,8.797922500990493,
