,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12
35,93.26933148,99.04168766,8.721149613,61.96320043,38.75005668,16.61228516,45.39252508,125.5203389,44.84529155,69.04027007,161.9178205,62.49348617,35,37.48468769,64.25021904,13.6227959,24.19197984,23.03441537,8.41162281,44.1763975,54.3016171,39.37624552,66.23348033,125.4320707,60.29534407
36,0.15122849,9.099682393,76.57848283,15.34848062,59.03656114,154.7147325,44.75645544,139.0800315,50.48533375,19.23185902,64.09431607,36.25112615,36,1.600806014,0.676170226,15.00735187,13.86759753,23.6426312,38.78137268,14.31424923,100.8210879,19.92559377,0.107954353,40.03345807,9.094436964
37,37.031357,115.3328971,36.30646172,72.20254349,179.5131215,26.28052046,128.6724028,77.38811051,47.9269853,159.3914901,24.06126944,14.96499685,37,0.470928823,58.47289427,9.67264596,5.274374921,96.40857879,14.89889876,79.9864193,12.71316148,14.21744921,132.5557817,9.398454863,17.91212888
38,19.5457366,31.88064284,88.27089491,2.84817146,61.7361338,118.3556551,14.91909395,70.33561478,97.96334044,20.75381005,85.3104564,107.4976282,38,1.283456267,6.176429672,28.57011261,0.169513378,5.792792942,26.37555378,17.76563897,29.57655033,38.20621734,25.39781343,52.01970466,35.90001135
39,115.3246161,9.429385651,124.8166054,208.1739522,87.54218803,62.40547896,137.6754308,186.7976701,176.8740757,187.1164348,232.6879455,203.0377914,39,21.68523245,26.01708224,63.49954252,118.1066239,74.56000299,10.67674877,123.2091737,152.7263585,156.8306935,133.0571002,235.7829295,150.7921173
40,57.75725906,130.6899714,55.13781806,40.81389133,140.5169256,60.07881013,80.82318146,62.39595196,1.727557256,48.43839798,33.36394955,38.06328723,40,41.09433401,104.0398456,39.3726545,40.57685654,123.3784338,44.99076749,28.45378606,28.60093894,5.788007081,26.52469822,0.557549512,18.03913805
41,114.9451563,174.6637573,115.0349732,63.29651724,89.25926445,21.37409964,64.82167716,57.48302495,131.9140931,81.97483217,69.74602836,145.902348,41,76.49244668,121.70227,20.31006588,44.46960919,39.16096464,31.94415132,33.09547199,31.45371058,111.5871618,61.79663311,58.22504803,98.71663609
42,122.4626608,5.641870294,41.19777617,101.2803775,75.95310411,40.55728435,85.81406647,12.19002743,63.50658676,86.50361431,2.310778524,80.18686811,42,23.6599541,19.30491793,11.48491674,46.18021995,54.40798756,5.492112544,48.37990459,9.243141149,25.86201812,71.9374679,3.860064794,31.39787532
43,9.750927878,66.47959905,57.37752815,46.63613075,37.61923706,37.59066337,155.9182911,102.7890484,55.97878434,191.7987282,157.3474616,85.70154122,43,11.55612036,35.54164039,13.00317744,19.21992582,30.01478524,15.04752478,94.46759502,82.58653223,57.44072258,127.3876185,183.0551244,87.01753058
44,73.9012597,77.30028985,43.9457341,118.5984568,7.886021825,19.33258702,101.705589,63.71854387,47.16214464,108.1393653,73.64823221,50.81649256,44,16.33900188,62.96759733,15.98725675,23.16165656,11.48905388,0.53530176,46.70158292,30.31347086,21.30499731,58.6765062,59.09076393,21.58160606
45,22.31298052,81.79821222,80.44335657,55.95684374,154.2154911,131.865953,70.32633667,124.3667598,217.2630914,63.80874661,121.2053209,133.4151849,45,0.802933455,33.57517671,43.99720158,32.37892703,102.3238378,80.87258503,3.487886805,75.34350373,110.912305,62.0836394,55.82284728,103.4590161
46,57.96703776,41.76285784,45.37388158,181.2684315,114.1577313,6.206848036,186.0714108,164.6898348,59.76080123,201.4882638,188.0788248,61.69997403,46,3.892174494,44.65707093,25.94015507,69.1108926,78.65021045,9.895615995,188.0636664,114.6322796,53.78497553,159.1186753,143.6839592,63.23558723
47,89.48918956,139.8782148,86.21289243,55.60434782,46.2314102,42.20865967,26.66103252,74.02421808,93.37529827,16.22140407,75.43908412,94.44489968,47,59.38457006,83.99580527,59.09865855,34.80142849,44.47353525,41.12990754,5.797027967,35.16983606,31.02717581,4.455843709,44.07027041,45.33883181
48,20.48956892,112.1963186,171.1984404,12.02058057,20.3975708,70.40772345,136.0679609,182.914899,139.4748317,126.6078946,138.9625122,134.4818323,48,15.06492876,49.81163679,115.1983468,2.250686982,12.17833768,33.92489604,61.26981728,151.1876886,68.75697926,90.9489332,154.3609865,102.9048151
49,8.740570297,90.81742323,66.55436953,69.75435841,19.47358152,139.9742153,165.8159934,111.0259821,223.4062768,37.61753017,43.47488206,96.2656279,49,11.91476746,99.78249035,4.849017917,32.70155688,32.97847107,42.05652888,131.6225763,56.68518956,166.7896347,28.79428653,25.24250539,83.09344184
50,93.97955677,192.1423179,80.30342365,46.27563566,214.9423969,81.52967462,54.92863956,179.5956054,89.45850974,55.95999388,183.4826958,105.146331,50,63.93033476,165.861525,64.3875245,67.8795586,192.814399,66.63968672,53.76389511,83.78763316,76.62867506,52.71236253,143.1599505,103.9430547
