,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
57,1114.6116841193334,874.4194413953093,917.0068021177725,0.0,326.16221939585193,971.8661249926596,510.1284808389616,629.5499147681045,0.0,0.0,171.94269518629932,0.0,
58,1200.0,752.5350083894168,996.3221891325857,0.0,414.8566740753486,883.1536371114663,496.81982009828624,624.5736285063678,0.0,0.0,192.07943338038422,0.0,
63,1200.0,758.8608823359585,988.5177336840318,0.0,417.77950422046905,887.345731160649,412.5390309124643,638.1935347774793,0.0,0.0,193.55268874842878,0.0,
64,1200.0,716.3126971783469,1003.1774920085127,0.0,387.3773305748197,994.1200324823452,409.206096504514,600.4984004980979,0.0,0.0,262.1506274170411,0.0,
66,1200.0,727.3829936283471,985.6815140247995,0.0,381.36340162134286,1008.8304899369,401.7363798365974,568.3009037702953,0.0,0.0,319.23648866054646,0.0,
68,1200.0,727.3829928078761,985.6815133094965,0.0,381.36340036461604,1008.8304893052352,401.7363785929934,568.3009020286121,0.0,0.0,319.2364880578604,0.0,
80,1200.0,728.2674403563841,988.04384100808,0.0,381.15378755329016,1003.1921233167964,406.05911307160454,569.9861139590303,0.0,0.0,285.97060593768293,40.642440358674065,
81,1200.0,728.2678822511115,988.045678674978,0.0,381.1536850992911,1003.1890513359908,406.06104883542605,569.9885552131431,0.0,0.0,285.9528016241775,40.65848290604009,
82,1200.0,728.2678822356371,988.0456797773812,0.0,381.1536845525508,1003.1890488233985,406.06104974301974,569.9885563000449,0.0,0.0,285.952788512742,40.658494321523584,
84,1200.0,729.0287767221668,987.3566471722932,0.0,378.7014381401118,1007.4340218998809,440.5527646250086,559.4811803429265,0.0,0.0,308.3668060043154,23.702649465417185,
85,1200.0,729.0289425256714,987.3573276771484,0.0,378.7014223606388,1007.4329182683863,440.55350470549615,559.4820722886849,0.0,0.0,308.3604850126428,23.708360636564855,
92,1200.0,731.8364736221954,993.891455028777,0.0,377.7901040817436,991.7044084842225,459.20063875612243,560.6954852984786,0.0,0.0,190.21017129777977,163.3258132317741,
93,1200.0,731.8431814714122,993.9129541945338,0.0,377.7880514579165,991.6674263268281,459.2359583508735,560.7206067378379,0.0,0.0,189.9470964970551,163.570000223396,
96,1200.0,731.8431860778509,993.9129686118745,0.0,377.7880502818478,991.667401804273,459.23598206533296,560.7206237469114,0.0,0.0,189.94692130281186,163.57016300730692,
101,1200.0,731.8431914494855,993.9129867626734,0.0,377.7880480087179,991.6673698334413,459.2360118055849,560.7206445174972,0.0,0.0,189.94669590206553,163.57037177237268,
102,1200.0,731.8431933108899,993.9129923576385,0.0,377.78804768902916,991.6673605063369,459.23602102837253,560.7206512291742,0.0,0.0,189.94662874882644,163.57043428401687,
105,1200.0,689.5068668873976,1086.944416385288,0.0,339.46757588146534,1025.739876081525,465.40649771970226,563.1554292684555,0.0,0.0,182.41030341011708,170.95846758282988,
106,1200.0,689.5074501898345,1086.947230260714,0.0,339.46716988606846,1025.735525158042,465.4105814976675,563.1582779252328,0.0,0.0,182.37936545983595,170.9871124647176,
109,1200.0,689.5074490056934,1086.947230720967,0.0,339.4671675960371,1025.735521628737,465.41058163944746,563.1582764573172,0.0,0.0,182.3793484952,170.98712635186394,
112,1200.0,690.412498838573,1089.5219884975909,0.0,338.9633970932788,1022.6832863821907,472.15803003734015,563.0758481122086,0.0,0.0,138.39817813433274,221.78408461706007,
117,1200.0,655.1999870983004,1092.3169448635495,0.0,320.2953529169974,1174.0228557023534,471.7651468118717,539.9191358793163,0.0,0.0,146.7748275024682,253.8715327254695,
118,1200.0,655.201562186826,1092.3216411937208,0.0,320.2948319084234,1174.015064032217,471.77306806881546,539.9241668554608,0.0,0.0,146.71760708269588,253.92564863287006,
122,1200.0,658.0834331845084,1094.8103181096023,0.0,328.2387473309513,1166.8545778716218,379.11188068213943,620.4764931435049,0.0,0.0,149.8045526072647,219.21567987711603,
123,1200.0,658.0824552750215,1094.806913087839,0.0,328.23939753774107,1166.8607090511844,379.10667249112527,620.4727303655241,0.0,0.0,149.84839089188034,219.17437789328454,
129,1200.0,658.0824538376064,1094.806907253124,0.0,328.2393991013763,1166.8607201482132,379.10666367246137,620.4727242689966,0.0,0.0,149.84846872200384,219.174304928252,
134,1200.0,658.0824536122923,1094.80690911573,0.0,328.239397312917,1166.860714909999,379.10666618727277,620.4727252118205,0.0,0.0,149.84843609685814,219.17433451353835,
137,1200.0,677.4999542026525,1200.0,0.0,368.9700474881484,844.7473483450464,372.3385645493014,672.887728377988,0.0,0.0,23.025203992117234,374.690494473402,
138,1200.0,677.5050154801179,1200.0,0.0,368.96699100245905,844.7431117942608,372.35290971892675,672.8967010885807,0.0,0.0,22.919221673121758,374.7912552170702,
