,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
53,664.807129808637,695.4722436244411,717.6965621184495,433.76899036959514,643.1652131005926,683.2106203207338,425.63698748967084,520.1003586661716,366.0891280036372,375.58873468326277,449.83652676136865,282.37317138919695,
54,664.4958342036618,696.2448773721284,716.8848779196338,434.52712718288103,642.5003195805534,684.8484791388078,425.2342979771353,520.8777133150198,362.4672172525517,375.4723359295475,451.27254118939277,281.88706014145197,
56,666.0160934788922,695.5697309799742,717.0541866029563,433.02849954651936,643.0550939899609,684.6013237070898,425.72724169184096,520.6394608653773,362.9216588486767,375.0823108929318,451.2181797390939,282.0224855464273,
57,665.3359999550157,692.9903473500253,717.265299089326,431.97304905831857,650.674698101324,682.3687133964308,425.9833184235049,520.1666920114511,362.51637033087854,374.55965111570777,451.40902911273844,282.43104974367895,
58,663.4274050385068,697.203780408775,715.5282148396539,430.24373921474114,651.0454373002265,682.9451291812852,426.61051135062934,520.3124941712653,360.3080515368632,373.89411194728694,452.32105009348186,282.57840579948214,
63,662.6663794618217,698.0680015978955,715.1394744969865,428.917692539726,650.9824916898594,683.0521948964864,433.14779282432295,518.1099106210294,360.70398082310084,372.6696249490505,451.78501563610115,282.5850112411754,
64,658.6177986467216,700.1107512563785,712.5934979102815,426.03152646272,652.0901631383906,687.3199831188593,432.55879395975984,520.90615753019,354.74716842328047,373.6659498391302,450.256327798376,285.5800417725959,
66,658.5681741860164,701.3596605744223,711.533815978514,423.4581354896303,650.7038303331495,688.4862877616877,454.4915801183304,513.7738568654702,353.93792559708965,365.37091345711724,450.04254488450283,287.94826426773585,
68,658.5681737448094,701.3596598518367,711.5338152625999,423.45813495690226,650.7038294009536,688.4862869973792,454.49157896331513,513.7738556351079,353.93792491536004,365.37091255418835,450.0425437819638,287.94826368061626,
80,658.5713453989857,701.4923953647259,711.7491859058318,423.5422761077136,650.5533321038489,687.7840850009507,455.5205512558723,513.7777106363258,354.8064291958831,364.09708005349574,448.62989600570785,290.1673629898192,
81,658.5713267461697,701.4924798720073,711.7493772858786,423.5423103167601,650.5532698055378,687.7837338606372,455.5211098729643,513.7780698460847,354.8067834973072,364.0963910984296,448.6292045668174,290.16793506939683,
82,658.5713265585016,701.4924796477617,711.7493771484529,423.5423101324083,650.5532693969147,687.7837333023449,455.5211098189437,513.7780696154082,354.8067834714685,364.09639023988245,448.629203619534,290.16793522367556,
84,658.8832023594464,701.4060662647756,711.6144978959193,423.5352545090317,650.2354947185071,688.1498544309111,457.97792209838235,512.7587323015227,354.519893845583,362.6920333368589,449.3028454828196,290.11214300878487,
