,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
90,500.6129522491182,701.3750759190783,697.703143517373,502.6361162876052,688.5040839179553,512.7170512050899,500.61447709885795,489.58912471997195,524.7146331000993,496.38540470909373,523.1437834091652,667.8951077399029,
98,500.5255829973163,701.3714482295916,697.7832277407757,502.9351764744577,688.4939480406117,512.4517527477035,500.48612903855974,489.725351526779,524.7400557326953,496.54171326079444,522.8527888680952,667.9354671330884,
100,500.6351953745752,701.3028661662686,697.7472204285049,502.9066054384491,688.3906861082988,512.6882404774952,500.5114995773987,489.7179482799514,524.5929194196151,496.50739219359576,522.8773757357274,668.0713099944555,
101,500.3776998793195,699.4209848619005,699.7024923951876,501.91250986864617,695.1408577291154,503.44876885515004,499.4716788527845,489.28184750784914,525.0408088488784,497.63080316213296,523.4405510590057,668.2552001180757,
106,500.0962257687043,700.6482197430473,699.2962458723352,501.9700130063361,694.4804780807362,504.120390969577,499.3306533788377,489.1148345813846,524.6247402406675,497.7211294758195,523.7922829547801,668.5915848609661,
114,500.096225793266,700.6482197661104,699.2962458962116,501.9700130382041,694.480478118357,504.1203909938644,499.3306534353791,489.11483463922747,524.6247402841911,497.72112952396304,523.7922829943128,668.5915848988814,
123,500.41870427426625,700.1833246210541,699.5411003358366,501.3165401522522,694.9230463996396,503.8194540414538,501.5318642181897,492.16220254091155,521.9150685032259,496.24565497906826,517.192559443624,672.7478215680792,
135,500.19066917964903,700.8714121776508,699.7694528097016,501.029212110885,695.8583542561502,501.88613415710097,501.7453251694382,492.83557331300625,521.3259955934798,496.55127092293526,514.1536869176708,675.3160123179686,
136,500.1906692681139,700.8714122612532,699.7694528959046,501.02921222646114,695.858354392552,501.88613424584446,501.74532537744966,492.83557353045086,521.3259957770019,496.5512711006659,514.153687067333,675.316012480647,
139,500.1906692753465,700.8714122680882,699.7694529029525,501.0292122359103,695.8583544037037,501.88613425309984,501.7453253944556,492.835573548228,521.3259957920058,496.5512711151961,514.1536870795685,675.3160124939467,
140,500.19066942051194,700.8714124052742,699.7694530444064,501.02921242556346,695.8583546275305,501.88613439872233,501.745325735788,492.8355739050398,521.3259960931532,496.5512714068399,514.1536873251537,675.316012760891,
205,500.1906694964038,700.8714124769947,699.7694531183581,501.0292125247136,695.8583547445464,501.8861344748534,501.74532591423605,492.83557409158027,521.3259962505923,496.55127155931075,514.1536874535451,675.3160129004488,
216,500.1783458106871,701.2519628540042,699.8156568946564,500.872131158341,696.1515176600209,501.18159337223904,501.79646138082074,492.80989689085953,521.2916847200893,496.49599124424486,514.1966618204664,675.3931956068697,
226,500.28517186907163,701.103722164482,699.5831755613997,499.3400820637703,697.4019594983736,501.5786855987851,507.83054316794625,493.0224990483851,511.2333022765322,489.96266829546215,513.7214390540221,686.2723853362756,
227,500.3442275373806,701.0742766309963,699.6838808196256,499.4584919655533,697.2090821902499,501.45789362830646,506.5606549774131,494.7835001873912,511.360880194541,491.3436591453278,511.83845782052094,686.1438161191534,
