,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
34,509.7867042835251,500.7388879008195,656.3002109465441,494.08574787659546,645.620478167984,431.71400590648744,310.44602324751764,375.28502802516357,635.5380310821324,336.3571394522204,353.26102634403014,413.1334105986742,
35,292.1946767287844,386.61157752895616,690.6424590755292,472.51487589245346,461.1092728143623,676.3779642234705,553.1235047490616,413.30800604877436,718.0042878093495,583.7072784949097,406.77604938629514,623.4314630919131,
35,292.194660868822,386.6115635660962,690.6424454435962,472.51485428715927,461.1092504663033,676.3779441163687,553.1234866375396,413.30799049971625,718.0042767627414,583.7072606754363,406.7760272834805,623.4314338174374,
36,670.2015182665477,446.4457075398012,672.904473855577,678.7861214509202,491.2678054616385,468.3002669200859,612.4582335393621,424.0904429503149,685.9492981034748,410.67892394554633,440.06711215757866,694.2240416015213,
36,696.2268332999498,699.0116717041655,699.5648404816154,694.3666195500929,519.2612962661617,481.43418099915846,601.7657756599837,399.8994624751124,709.9739614825229,392.9377312957884,352.9195171603412,623.7408676159145,
37,367.70901472067607,636.329629688945,662.4753100800806,450.83346445042645,396.0171723634391,380.4873912608592,644.3497028066809,452.1789594374061,666.4194958629307,553.3336888331233,601.2477700232748,714.2645473300329,
37,372.06603894501995,638.3195449380464,664.9847039842037,452.07263389407603,391.59087652917776,374.9568473444666,471.968290661756,410.12511164502996,533.0111634270324,526.5716223728981,611.6509103126757,635.6906240721125,
38,697.7091423260632,504.2997195807307,502.65297123583883,694.2303746965878,506.1901750739853,681.1696965937196,611.637294935236,368.61904867261245,357.83205202487335,392.5952967220403,344.6911653270959,402.45000437219875,
38,712.4458362039103,452.8874915272608,358.05092911892973,697.2389702293874,486.223292898959,664.2455566085079,688.9963430846932,394.01065554432705,357.03469973119155,449.6161521293618,368.2199436135357,397.0348087172374,
39,675.3193854858736,499.8352650236361,699.9255918168625,354.3099976767831,482.339868510966,507.19735042177103,524.0325159710842,703.7714192597059,448.0021143470937,671.3023597610122,678.4737069638753,390.3633911747489,
39,689.7394227840058,497.6006344166372,680.3543285066398,357.23446678309006,449.5942062719658,354.48935689824543,501.64652614464114,553.6373263374057,443.09951575666724,698.6900676292237,610.9055031348142,401.7103800561595,
40,500.96456190426034,509.44144559545646,673.116318132469,326.3105483780376,443.9103218858954,356.72100981404077,683.9546448524125,376.27765053726057,372.9641013075988,694.51910865726,506.59014503992177,594.3529541040109,
40,493.9811139860635,506.1853838921713,671.0737494105803,331.31668457922785,459.95234969977304,361.8707376865973,707.0010772477112,408.95632076736916,393.8836340659092,666.8301005093386,480.03980469250064,572.0643141773874,
41,508.01065233624644,480.4609320751433,347.28238254102286,482.2184867421446,495.65792067808593,693.9268948314758,447.4586387792895,680.4835459716346,599.1275948709233,616.1861136182303,653.7497286340674,480.608925394119,
41,515.1152326443142,502.3439958646484,504.56053462884853,466.9963865719861,503.47297152020883,684.2396827413689,404.44298007357645,447.6233627278572,613.9556381967212,589.8944409166842,497.60272733589784,463.47057844782086,
42,699.1891674651176,528.2227541668522,694.9980915978567,490.5142475096146,682.5662950786905,672.9169437019272,466.03119244258977,420.1730489920991,367.2611548792095,525.5055938104275,626.3685208788227,484.04294025392926,
42,660.6327597392601,495.00155882611244,660.3732411455322,478.9062923501073,679.2658217812245,658.1190213856217,485.57885316041063,496.45330491321926,387.6535632294251,528.7251417795044,658.7430004133221,483.9001694874347,
43,482.76516225966543,404.5699456904076,343.98032887873103,671.8213521395217,667.4577869714291,661.5271305575201,399.4394786725546,470.25909018090783,343.41630287026675,470.7147411662676,478.7161308646796,301.23723576439727,
43,452.5717577345776,452.30016375989317,558.6581915936998,635.0878698169324,452.2190219062364,670.6564361867923,377.01126209153585,467.47675532411995,319.5944873295681,468.8453789773014,490.0068603304133,313.40321609726,
44,382.6420018275854,642.2001935302723,344.0842004051441,491.1078056216231,473.3909894370125,327.5909876276946,505.03726631424786,506.67835837381716,465.5205189847879,491.8138167428766,486.5261265188487,351.59635022103566,
