,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
125,678.4247675933611,700.5850448843697,500.49795616849383,505.6527593158555,522.4802962947181,693.3293970070866,685.9075159559834,511.3222748329233,690.0391581193371,509.28158095425334,485.7173469654089,515.0766278934983,
128,678.4548875353184,700.6943203693128,500.50690189133724,505.62179579851863,522.5139365926703,693.238189346007,686.0622111906534,511.47212955317616,690.3858489898461,509.4655627923727,485.51328704511616,514.8458425180211,
137,678.3855749072303,700.7193221683334,500.48429338524744,505.4759982030158,522.5304985808009,693.2261986672831,686.3166563327441,511.7147601007961,690.6994316673645,509.7553800209061,485.11459750228886,514.2418940380966,
140,678.346555150628,700.7267392196472,500.45229065129075,505.37816166578966,522.5097870364672,693.1474934536587,686.4066616081693,511.7347587880407,690.8363823640069,509.89891577172307,484.8434424214189,513.9071618387205,
142,678.4187542164757,700.7557920346094,500.50877534537676,505.61018036154127,522.5872189403669,693.2891243464386,686.2162439161874,512.1390239785856,690.5600421419025,509.14627758347285,485.3645602947634,514.5185724362794,
145,678.6266628936447,700.6116918459479,500.56977989093986,505.5844952604649,522.1064946715685,693.1767860393114,686.3735869601526,511.64041231522924,691.0143643893605,510.3386044152193,484.6957048381928,513.690465463208,
146,678.5837603753755,700.6974878561775,500.47791401128563,505.49789008323717,522.045125429574,693.1434083983152,686.8217096612386,510.97575825074136,691.4181028079843,510.9645925812125,484.8876890711579,513.3805639082271,
148,677.3967498733857,701.9435195204185,499.05901654213767,505.30008730186876,522.5289275241709,693.2344007226397,688.5579149976568,509.41660688376174,693.6939143703981,511.1851790360874,485.8642045315679,510.3990187909179,
151,677.3127709267753,702.1079629657725,499.0327754957404,505.11895481989745,522.5929251532402,693.1229802250269,688.8686404210754,510.3105557881264,694.1089418238967,510.9368895697687,485.37396530788027,509.58398519786545,
155,677.4150312303136,701.7399006196356,499.02208634650486,505.58989454580774,522.5813410095478,693.4788537527938,688.5201670773411,509.5913272089299,693.6013078124199,510.8568698522145,486.06980071138685,510.67805506975463,
159,680.121318020038,704.3417447150889,501.6287164465896,505.0927138303395,515.6664936116218,687.8360947798773,692.0801534579732,511.0420356750127,693.0391551748284,508.96711270908537,484.198785879044,512.4017672699604,
162,698.954421385761,696.6871274019522,502.8577721522904,499.1247796690083,511.23233600189167,690.8998242698591,689.7804922349831,511.66299999050653,692.5341089084483,508.3906533151704,485.50704069083366,512.1661078951486,
166,699.0024064434698,696.9398120655122,502.8668806815934,499.09627971889046,511.4272600751025,691.0926115728762,689.8195587919624,511.8350730203557,692.6681304426111,508.42184061019,485.60066445011944,512.2127528543398,
184,698.8488733468214,697.0470582661303,502.55508066234626,501.20557280719567,507.51238405635075,692.9853702699058,687.9942231137941,512.7332274164046,693.175947999005,508.79518343930386,485.85024935815653,510.7619257088117,
185,699.1336945932445,700.0183735810309,499.70265145852557,501.72911671039674,498.5401978994876,700.3529168824015,689.7279520646906,511.9501509933784,692.8370525055286,507.667221877321,486.75179000365074,511.0012651424445,
187,699.1302261100248,699.183074048747,500.35313203705323,501.66446604182175,499.6403232885746,699.6691264280438,689.6673033411159,511.97732364452895,693.0466830533984,507.7184399881239,486.65587047831775,510.694280673648,
189,698.7566856229924,699.2715181487438,499.9429237102222,501.75785235787816,500.5661227450114,699.4577503207408,689.475103398709,511.53765220690707,693.0558730214561,508.1655730066356,486.7186616092455,510.6664975928959,
199,699.1739904276793,699.3103862038964,500.16260116782286,501.44919903037993,500.17203484319987,699.5603460117287,689.8159224546858,511.92795937948756,693.9672033792505,508.14427752524955,487.0236436451301,509.17557188424695,
202,699.0778497018432,699.4351134354185,500.10171550552906,501.5563675624975,500.3126870857115,699.4925773409808,689.8888350245059,511.787510603102,694.0802807340739,508.37574082374675,486.9934183052384,509.1068719034366,
236,699.3722032260846,699.0899873047467,500.5016261681684,501.454082187798,499.99703631274167,699.3273949111626,690.3995134343814,511.69068863238385,695.1848739192793,508.8058393828858,486.57452235959306,507.9556938932681,
370,699.5713598257189,699.424691052512,500.2771566618158,500.89088032013575,499.49821185752165,699.4056968338193,689.458392945127,511.4726129035389,696.7797889773703,509.64879085076547,487.9348032951656,504.6576169547605,
376,699.1013870287632,699.7347962085407,499.881796729016,500.9325072740281,500.25053397626476,699.3129541689748,689.2144628284137,511.0134925242824,696.4524795354458,509.77532632556904,488.2135046324429,505.2304937256524,
377,700.996422534626,694.6445839325737,500.741435370941,499.0866096700737,503.99798754845773,699.1078003339454,690.8142129017089,510.6434655937256,696.1481187945075,509.9552412891171,487.542625919604,505.81924990010236,
382,701.0768363295832,694.6857605939585,500.68777980113373,499.1132228980731,503.9949401730845,699.248406952153,690.5392239559177,510.8385512135807,695.7131195139744,509.359523337124,487.72166508409293,506.28003868174505,
388,701.0789324533973,694.5229548913545,500.69159703733334,498.4722481825422,504.0021938031188,699.1632819619269,694.0241227224212,509.26054389761174,695.9988009913932,510.3033395212188,486.8357387839658,506.6363849403953,
391,701.9386706150723,694.6877954085124,500.9585480749796,497.7649899866929,503.2745744650752,699.2002848515106,694.3498436766885,509.99801318608473,695.8636615254877,509.5210921490864,486.59621923383537,506.500242197152,
392,701.3485355114329,694.6099163827614,500.79581716655696,498.39189771074655,503.4020230389104,699.3308139636008,694.3947432483327,510.0838261868712,695.7856873053762,509.3514047912395,486.62079012048616,506.6801279055272,
