,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
34,503.47359003710454,503.2328153151552,700.4586159410342,484.0746449394071,693.4327136204331,695.6420930957609,508.5996075135965,400.03133488880934,614.0437159489765,451.692620164508,328.1516669764265,382.7154770554539,
35,292.1946767287844,386.61157752895616,690.6424590755292,472.51487589245346,461.1092728143623,676.3779642234705,553.1235047490616,413.30800604877436,718.0042878093495,583.7072784949097,406.77604938629514,623.4314630919131,
35,333.69844586158285,419.0183588899417,668.5713519866312,657.5554304517767,492.686543943625,685.5327788592323,589.4531715130693,575.9028522829558,748.9354095861413,581.8935764431644,489.7326727795686,628.0322369779066,
36,670.2015182665477,446.4457075398012,672.904473855577,678.7861214509202,491.2678054616385,468.3002669200859,612.4582335393621,424.0904429503149,685.9492981034748,410.67892394554633,440.06711215757866,694.2240416015213,
36,477.1974566171744,618.2303471036856,711.8372049811918,625.368138923716,498.90300562012635,495.21356768030745,609.8682677572612,427.12392832606156,682.1560969497426,413.2151800564241,441.92814071687883,696.8990918598623,
37,367.70901472067607,636.329629688945,662.4753100800806,450.83346445042645,396.0171723634391,380.4873912608592,644.3497028066809,452.1789594374061,666.4194958629307,553.3336888331233,601.2477700232748,714.2645473300329,
37,486.7393265832929,669.6904880235134,653.4083978768332,460.4092489860125,414.61885552210936,382.69033597154527,327.1886445267435,412.5020042044399,656.9683516818967,468.02910359694494,632.6293784560135,729.7521418964968,
38,697.7091423260632,504.2997195807307,502.65297123583883,694.2303746965878,506.1901750739853,681.1696965937196,611.637294935236,368.61904867261245,357.83205202487335,392.5952967220403,344.6911653270959,402.45000437219875,
38,486.1736398025049,411.7267729151791,475.4806602396855,648.2682534742796,506.81767692694444,666.5919512396068,616.0474596118169,375.9649229145301,360.57792823817624,386.7609120908157,344.4307431373292,398.326971433142,
39,675.3193854858736,499.8352650236361,699.9255918168625,354.3099976767831,482.339868510966,507.19735042177103,524.0325159710842,703.7714192597059,448.0021143470937,671.3023597610122,678.4737069638753,390.3633911747489,
