,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
132,684.3423496057037,487.15752373742504,352.0715140286873,317.4306270036712,683.3212591661849,491.87000097283044,
137,684.3397765262007,487.1599224526799,352.0714822477319,317.43100826064585,683.3230618015141,491.86809552244074,
165,684.3296597571257,487.1693193717566,352.0706508622506,317.433295937333,683.3275664327839,491.8631414064598,
183,683.4297666492731,489.6956058167065,351.1569404416246,317.3070097377248,683.5854058232079,491.7440849992207,
185,683.4875926973065,489.64515757247403,351.15594244556314,317.3067322567573,683.5282372273068,491.7993260753425,
189,685.3588069722792,489.82964768619325,349.4294417864859,315.53766107815085,683.9782161686242,492.4168278432637,
194,685.3227234177601,489.86189173197596,349.4286913048274,315.5414519996841,684.0047756952584,492.3900248100417,
195,685.3227276042862,489.86188793137603,349.4286905421009,315.5414525119761,684.0047694989496,492.39003098671753,
203,685.322727604292,489.86188793137086,349.4286905420999,315.54145251197684,684.0047694989411,492.390030986726,
225,685.3227276043181,489.8618879313473,349.4286905420952,315.54145251197997,684.0047694989028,492.39003098676415,
233,685.3227276044518,489.8618879312258,349.42869054207097,315.5414525119962,684.0047694987052,492.3900309869613,
315,685.3227276044522,489.86188793122545,349.4286905420709,315.5414525119962,684.0047694987046,492.3900309869618,
398,684.8860993109797,491.28581532560054,349.22164379655845,314.41097771099794,684.081045315107,492.68408235734773,
406,684.8591167578091,491.31434349521754,349.22665617071164,314.4063383842457,684.1214735812478,492.6433723726674,
428,685.6435269014468,491.4627311186739,346.39866183859846,314.64067637396863,685.0053497756633,492.65215997844075,
451,685.6043615693937,491.50448532262044,346.39060962003725,314.6517722523113,685.0074483514773,492.6480244457352,
476,685.6539128602197,491.4516858597112,346.39958907201236,314.6391392279669,685.0003335835704,492.65758801957094,
554,685.6398103277678,491.466687704716,346.3981487784877,314.64143727764474,685.0064756907083,492.6508674329479,
650,685.6398106195068,491.46668739559203,346.3981487541907,314.64143729302776,685.0064753639608,492.6508677659167,
667,685.6397802141764,491.4667197642327,346.3981445671968,314.6414435059418,685.0064846133165,492.6508571544556,
753,685.6397803668938,491.46671960238643,346.3981445557297,314.6414435125385,685.0064844468935,492.6508573242683,
836,685.639780182206,491.4667197981642,346.39814456738867,314.6414435071303,685.0064846400023,492.6508571268256,
839,685.6388135233937,491.4677489040847,346.39801017766445,314.6416425139005,685.0067739922562,492.65052433451683,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,484.8355658235504,345.2702794094281,654.2754570154658,515.8607112323899,345.09189303469816,281.966764554817,
2,486.90959531767135,344.7890840970115,657.834201301833,515.0036231590445,341.0103653244191,279.27426245239184,
6,484.33435844618174,342.22649255368964,673.2710226396174,505.9121786314882,336.57971582274945,280.3699379580097,
9,486.1000539112942,341.6677717840267,671.8767267134966,506.0584298457548,336.33821425365284,281.5311651662333,
14,485.55178049405686,341.6425425236138,672.7121899114176,506.61337539055785,336.0354773484158,280.18564918789315,
16,485.4399716999425,341.5922914862564,672.6646999032461,506.6138263184242,336.0726294845302,280.30159819082303,
20,485.2110546830242,341.50330984582473,672.6250710041119,506.6542247630735,336.14056847951605,280.4797299604498,
22,490.2173903286963,335.6615085128644,674.8306705690233,505.3282323070579,333.4650397302619,282.0971092784431,
26,490.714737329454,335.02544077148707,673.8840918104212,505.4878018864983,332.9739476571854,284.60634818569406,
27,488.20730672438657,326.4266851061111,704.4108172429843,483.7837240942699,302.95164636955934,301.421560296182,
28,488.14566871532776,326.71747728346503,704.1158389489218,484.2455119790352,302.1526638467573,301.530206289092,
34,487.38459259207946,326.75630969652167,703.6913814168894,484.94878923443486,301.7851397960465,302.69252948661807,
42,487.47177672195795,326.95000890117126,704.3411976144157,485.0966540767658,301.26654595031823,301.3763494545725,
47,487.38326241004967,326.9663551702713,704.3533042066302,485.1529978915132,301.1099731744941,301.23520917772413,
63,487.0617523949008,327.0172883332715,704.2941118855903,485.4664350968766,300.8087779029296,301.39660495383634,
66,486.8387196575038,327.0413938466417,704.2227082156139,485.6652378038264,300.6199146796672,301.545667598875,
72,486.958114679468,325.90219829668297,703.5452106982316,486.40964673682157,302.07642869012807,301.3454149287939,
80,490.7870346196456,321.8102463068962,698.1239519965862,495.4478166182148,302.75076647904666,298.45675116470346,
137,490.732822813109,321.52421108139964,697.5916180122155,494.8308643032869,307.444670175383,296.9285200286738,
143,490.638663679895,321.62607802974935,697.7758127751742,494.86254220781996,306.6881698691292,297.2040137670912,
149,491.3506049821429,322.02252667127175,697.0661912239198,494.97922869722635,305.94654912590215,297.52230971255153,
151,489.69363222418065,323.5098947480169,698.280512354523,493.9772852728868,305.47387072536674,297.76532727350724,
156,489.7676399935504,323.711705935152,698.0985390051596,494.3534119815904,304.8807368473799,297.800509474961,
157,489.7254750742225,323.9692438570066,696.9338038684463,495.32559911940945,306.4807416665243,296.9859947801243,
164,489.6176009407753,324.00504784261807,697.1975581094979,495.52757649654427,306.4392048930173,296.8718949393712,
169,489.77834787206194,324.17038007254405,696.965522012981,495.72829886509334,305.957760804776,296.92830666579323,
451,489.5534782269488,324.10077896210703,697.1172549595849,495.8094631049769,306.0765374719504,296.96289437921973,
740,489.7078917845014,324.1181224178091,696.8252573867961,495.6731403394155,305.97210346385395,297.0425581896565,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,475.3214260660795,513.0807028491279,342.1574075805821,491.34131386183503,409.6468111113137,582.8103165163272,
3,474.8352285589885,513.6803298067979,341.8564874586691,491.41051115509055,409.6504846190313,582.8754854618228,
7,476.3449931338745,512.6228500275431,341.135932638654,490.83942026439564,409.81461048819716,583.1203484541891,
9,475.26568893457056,510.1867956870503,344.2240120600203,500.51899517302616,400.6943002805757,588.4072335749353,
10,476.15264584167113,512.3215711831738,338.58045600861107,500.4695155816854,400.3365082804763,590.0489669057496,
14,476.7575889376673,512.1979326802021,338.365348446314,500.12282468805336,400.4484984861914,590.2131183015247,
15,483.6410413649148,508.1582058705673,333.73391517060634,496.8683953979264,400.82968132998326,591.8898113102775,
19,483.22458672045445,507.9546417005174,330.54661428664997,494.1220870767414,383.16061835043024,633.0536636116307,
23,483.11026053745724,507.8578101937805,330.55457215842216,494.133630618732,383.28624061927064,633.229790699779,
28,483.709462245946,508.12292791709785,327.9856273433718,493.06788642825256,376.78722922271356,643.3501533200588,
30,483.24388796103625,508.46533953261707,329.74791712646186,492.7256953655247,375.2024316051808,644.4065224743355,
32,483.1321355647274,508.37083578639596,329.7507364435886,492.7313567105013,375.3052565070941,644.5669098601014,
34,483.1349213379338,508.37359382071776,329.757998149873,492.738880565408,375.32598093497825,644.5978322661842,
39,483.9904814824889,508.45293948670815,326.7304380442282,492.22441531468644,368.0107224728948,654.548399167876,
43,484.95475712966925,508.4451789057075,325.5528353679522,490.45360240024905,368.2434452185409,655.0956437264155,
52,481.91904288651983,511.9360865066337,326.6779446677083,489.35995075310393,366.5740913254306,656.0026833423749,
57,481.937211554609,512.3041878517897,320.2128742737462,493.8534633166285,367.2230768322301,655.6683185010518,
59,481.5905849244632,513.0924459648794,319.7372702217337,493.5458674820228,367.2507223460291,655.839851060661,
83,482.4915981603872,511.3085779281945,321.4188491562499,494.2573410122835,366.9729297403099,655.4698298673479,
94,482.33350495531306,511.47112672252035,321.18467648360917,493.9985049108259,367.0345623098662,655.5753129748304,
95,482.33825336101205,511.46230156857496,321.1917554548665,494.0029742581381,367.03443898719473,655.5742334493987,
109,482.36454482684553,511.4807677950058,321.1631806714732,493.9230220809594,367.0561273309408,655.5967023275899,
115,498.1173328276225,493.88451494445803,311.5755492091437,502.4196605301871,365.0410959347922,657.0108108976139,
118,498.932453502106,493.706433002714,302.80317058181805,508.5754139272498,362.4426554204614,659.0367721163288,
128,498.9330569182391,493.7070961898123,302.8034870955238,508.57580677562413,362.4430846117203,659.0374317943683,
140,498.9482025936812,496.54450414839266,300.35461331405764,503.4888973810142,362.2235844368641,660.5882590632398,
148,499.54431756321,495.9471101595782,300.2839264588833,503.14009204933126,362.28196976625475,660.6855508577646,
150,499.50443550720973,495.9815491299214,300.28612786272095,503.15929182151336,362.2737040212006,660.6721019483865,
169,499.1284775832648,496.2763786662075,300.55908542980865,503.84865165411054,361.93635478742004,660.6606716668712,
177,498.4321593153012,496.5580045892633,301.0191837670965,505.352901935799,357.3177967736564,664.9738639516478,
179,498.68046469441094,496.3085313602585,300.9898811507999,505.21619147748373,357.35469794457447,665.0312280306359,
185,498.96745153237885,496.0292886721936,300.9570761802636,505.05340328660327,357.4006327141172,665.1011781381426,
187,499.04663530003387,495.85769900445507,300.9156248073644,504.9458369646784,357.38222762165424,665.0674517160396,
202,499.15992875168394,495.7804714737698,300.9096259932042,504.89486769752637,357.4007021872648,665.0945695027998,
212,498.86022993111766,496.3759957584391,300.49402349070607,504.3051528515255,357.6055929834625,665.0990581287911,
216,499.25585274195,496.15743419890225,300.5270728277851,504.2097189830048,357.74860297116777,665.3385559552959,
218,499.22017437364156,496.0715739809456,300.46242986208324,504.1248564393087,357.60995134462667,665.1031763956533,
221,498.489513107678,497.61298334947503,301.0923008787711,501.4522780919739,357.29694556549214,665.75471626855,
226,499.2527306917506,496.82050107063844,301.0637983274621,501.0763628678891,357.5130772228302,666.1253754378591,
310,498.7230547353325,497.713320501107,300.79355932728765,501.0473466930455,357.3858618599935,665.8890358890886,
338,498.56677164652586,497.6951476190085,300.7952392093882,501.0752832099863,357.4464742809312,665.9999075714745,
340,499.35606187823475,497.0520426987182,300.9750937965749,501.12297010862727,357.36649139354785,666.0195888958491,
